id_str,created_at,full_text,lang,retweet_count,favorite_count,entities,in_reply_to_screen_name,in_reply_to_user_id_str,in_reply_to_user_id_str,source,user.id_str,user.name,user.screen_name,user.description,user.location,user.followers_count,user.friends_count
1366207151140573186,2021-03-01 02:02:22,"while UK's AstraZeneca is delayed? after DOLE Bello said that PH will not barter Filipino nurses? ""World Health Organization informed the Philippines late Sunday afternoon that it was having problems with the supply.""

https://t.co/jFfeaBHe3W https://t.co/PRTKOqU2Qa",en,0,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jFfeaBHe3W', 'expanded_url': 'https://news.abs-cbn.com/news/02/28/21/arrival-of-astrazenecas-covid-19-vaccine-to-be-delayed-duque', 'display_url': 'news.abs-cbn.com/news/02/28/21/…', 'indices': [219, 242]}, {'url': 'https://t.co/PRTKOqU2Qa', 'expanded_url': 'https://twitter.com/LakasNgTimog/status/1365943440110800898', 'display_url': 'twitter.com/LakasNgTimog/s…', 'indices': [243, 266]}]}",,,,Twitter Web App,1038249201296011265,xxxxx,xxxxx,xxxxx,National Capital Region,95,116
1366207057553104899,2021-03-01 02:02:00,RT @cnnphilippines: BREAKING: Philippine General Hospital Director Dr. Gap Legaspi is the first in the Philippines to receive Sinovac's COV…,en,24,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter Web App,1361178591287910400,xxxxx,xxxxx,xxxxx,,4,150
1366207028884955137,2021-03-01 02:01:53,"RT @cnnphilippines: Testing czar Vince Dizon receives Sinovac's COVID-19 vaccine at Tala Hospital, Caloocan City https://t.co/T3X78VT8FL",en,11,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1366206828346896387, 'id_str': '1366206828346896387', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'url': 'https://t.co/T3X78VT8FL', 'display_url': 'pic.twitter.com/T3X78VT8FL', 'expanded_url': 'https://twitter.com/cnnphilippines/status/1366206892255547392/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1493, 'h': 830, 'resize': 'fit'}, 'small': {'w': 680, 'h': 378, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 667, 'resize': 'fit'}}, 'source_status_id': 1366206892255547392, 'source_status_id_str': '1366206892255547392', 'source_user_id': 2811559122, 'source_user_id_str': '2811559122'}]}",,,,Twitter for Android,849242192216334336,xxxxx,xxxxx,xxxxx,Quezon City,226,57
1366207012434968576,2021-03-01 02:01:49,"RT @UNTVNewsRescue: Lung Center of the Philippines received an initial 600 doses of CoronaVac, Sinovac Biotech’s COVID-19 Vaccine | via @Mi…",en,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UNTVNewsRescue', 'name': 'UNTV News and Rescue', 'id': 32726264, 'id_str': '32726264', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for iPhone,2179195058,xxxxx,xxxxx,xxxxx,Las Pinas City,1342,330
1366206999914946564,2021-03-01 02:01:46,RT @cnnphilippines: BREAKING: Philippine General Hospital Director Dr. Gap Legaspi is the first in the Philippines to receive Sinovac's COV…,en,24,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for Android,118508275,xxxxx,xxxxx,xxxxx,Republic of the Philippines,372,5002
1366206978163236864,2021-03-01 02:01:41,RT @gmanews: University of the Philippines-Philippine General Hospital (UP-PGH) director Dr. Gerardo Legaspi on Monday became the Philippin…,en,36,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gmanews', 'name': 'GMA News', 'id': 39453212, 'id_str': '39453212', 'indices': [3, 11]}], 'urls': []}",,,,Twitter for Android,1162656863789281280,xxxxx,xxxxx,xxxxx,,104,463
1366206976565276674,2021-03-01 02:01:40,RT @ABSCBNNews: Ilang Pinoy may agam-agam pa rin sa #COVID19 vaccine galing China https://t.co/7kgueZdmjp,tl,7,0,"{'hashtags': [{'text': 'COVID19', 'indices': [52, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ABSCBNNews', 'name': 'ABS-CBN News', 'id': 15872418, 'id_str': '15872418', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/7kgueZdmjp', 'expanded_url': 'https://bit.ly/2MvdupI', 'display_url': 'bit.ly/2MvdupI', 'indices': [82, 105]}]}",,,,Twitter for Android,4309540636,xxxxx,xxxxx,xxxxx,Pearl of the Orient,341,778
1366206974195421188,2021-03-01 02:01:40,RT @jeanlumenda: PGH Director Dr. Gerardo Legaspi now administering his first dose of the Sinovac Biotech Covid-19 vaccine.@pnagovph https:…,en,7,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jeanlumenda', 'name': 'Lade Kabagani ™', 'id': 289372078, 'id_str': '289372078', 'indices': [3, 15]}, {'screen_name': 'pnagovph', 'name': 'Phil News Agency', 'id': 823349574739734528, 'id_str': '823349574739734528', 'indices': [123, 132]}], 'urls': []}",,,,Twitter for iPhone,1068793364647108608,xxxxx,xxxxx,xxxxx,"Davao City, Davao Region",227,476
1366206972366786560,2021-03-01 02:01:39,"RT @cnnphilippines: Testing czar Vince Dizon receives Sinovac's COVID-19 vaccine at Tala Hospital, Caloocan City https://t.co/T3X78VT8FL",en,11,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1366206828346896387, 'id_str': '1366206828346896387', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'url': 'https://t.co/T3X78VT8FL', 'display_url': 'pic.twitter.com/T3X78VT8FL', 'expanded_url': 'https://twitter.com/cnnphilippines/status/1366206892255547392/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1493, 'h': 830, 'resize': 'fit'}, 'small': {'w': 680, 'h': 378, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 667, 'resize': 'fit'}}, 'source_status_id': 1366206892255547392, 'source_status_id_str': '1366206892255547392', 'source_user_id': 2811559122, 'source_user_id_str': '2811559122'}]}",,,,Twitter for iPhone,1241299160411693056,xxxxx,xxxxx,xxxxx,"Petaling Jaya, Malaysia",102,1587
1366206925507977217,2021-03-01 02:01:28,"RT @rapplerdotcom: AT A GLANCE. Here’s a look at all the COVID-19 vaccines being eyed by the Philippine government, along with the latest u…",en,20,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rapplerdotcom', 'name': 'Rappler', 'id': 330826792, 'id_str': '330826792', 'indices': [3, 17]}], 'urls': []}",,,,TweetDeck,3343352686,xxxxx,xxxxx,xxxxx,Philippines,2149,1741
